Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
RB,KC,Kareem Hunt,11,505,715,70.63,45.91,35.84,6.93,42.77,204.2,0.4
TE,NO,Benjamin Watson,16,504,1050,48,31.5,0,9.13,9.13,52,0.1
TE,BUF,Charles Clay,13,504,867,58.13,38.77,0,7.14,7.14,16.4,0.03
RB,IND,Nyheim Hines,16,499,1135,43.96,31.19,17.03,16.23,33.27,97.9,0.2
RB,GB,Jamaal Williams,16,496,1004,49.4,31,24.4,8.27,32.66,87.4,0.18
RB,CHI,Tarik Cohen,16,495,1074,46.09,30.94,20,17.98,37.98,162.64,0.33
RB,MIN,Dalvin Cook,11,490,710,69.01,44.55,27.14,10,37.14,112,0.23
RB,BUF,LeSean McCoy,14,489,924,52.92,34.93,32.92,9.41,42.33,93.2,0.19
WR,CLE,Rashard Higgins,13,484,886,54.63,37.23,0,11.16,11.16,79.2,0.16
RB,WAS,Adrian Peterson,16,481,1020,47.16,30.06,52.18,5.41,57.59,169,0.35
TE,TEN,Luke Stocker,16,476,986,48.28,29.75,0.21,4.41,4.62,28.5,0.06
TE,NYG,Evan Engram,11,475,712,66.71,43.18,0.63,13.47,14.11,81.3,0.17
WR,DEN,Daesean Hamilton,14,471,935,50.37,33.64,0,9.55,9.55,36.3,0.08
TE,HOU,Jordan Thomas,16,470,1094,42.96,29.38,0,5.74,5.74,45.5,0.1
WR,CAR,Curtis Samuel,13,466,856,54.44,35.85,1.72,13.95,15.67,97.8,0.21
WR,BAL,Chris Moore,16,466,1190,39.16,29.13,1.07,5.36,6.44,27.3,0.06
WR,GB,Randall Cobb,9,466,597,78.06,51.78,0,13.09,13.09,48.4,0.1
WR,DET,TJ Jones,15,462,1017,45.43,30.8,0,5.63,5.63,31,0.07
WR,KC,Sammy Watkins,10,462,656,70.43,46.2,1.08,11.9,12.99,75.1,0.16
WR,WAS,Maurice Harris,12,462,760,60.79,38.5,0.43,10.17,10.61,31.4,0.07
RB,HOU,Alfred Blue,16,461,1094,42.14,28.81,32.54,5.86,38.39,77.3,0.17
RB,MIN,Latavius Murray,16,461,1051,43.86,28.81,30.37,5.64,36.01,109.9,0.24
RB,CLE,Duke Johnson,16,459,1092,42.03,28.69,8.71,13.51,22.22,85,0.19
WR,CIN,AJ Green,9,459,582,78.87,51,0,16.78,16.78,103.4,0.23
WR,DAL,Allen Hurns,16,454,1079,42.08,28.38,0,7.93,7.93,41.5,0.09
WR,TB,DeSean Jackson,12,453,870,52.07,37.75,1.32,16.56,17.88,110.3,0.24
RB,DEN,Phillip Lindsay,15,453,995,45.53,30.2,42.38,10.38,52.76,187.8,0.41
WR,SF,Dante Pettis,12,452,781,57.87,37.67,0.22,9.96,10.18,76.5,0.17
RB,SEA,Chris Carson,14,452,934,48.39,32.29,54.65,5.31,59.96,181.4,0.4
TE,WAS,Vernon Davis,14,447,913,48.96,31.93,0,8.05,8.05,50.7,0.11
WR,BUF,Robert Foster,13,446,848,52.59,34.31,0,10.09,10.09,72.1,0.16
WR,TEN,Taywan Taylor,13,444,803,55.29,34.15,0,12.61,12.61,50.6,0.11
RB,IND,Marlon Mack,12,443,821,53.96,36.92,44.02,5.87,49.89,161.1,0.36
WR,LAR,Cooper Kupp,8,439,532,82.52,54.88,0.91,12.76,13.67,95.1,0.22
TE,TB,OJ Howard,10,436,717,60.81,43.6,0,11.01,11.01,86.5,0.2
WR,ARI,Chad Williams,10,430,568,75.7,43,0.23,10.7,10.93,24,0.06
TE,CAR,Greg Olsen,9,429,557,77.02,47.67,0,8.86,8.86,53.1,0.12
WR,WAS,Jamison Crowder,9,428,557,76.84,47.56,0.93,11.68,12.62,53.8,0.13
TE,DET,Luke Willson,14,425,925,45.95,30.36,0,4.47,4.47,8.7,0.02
TE,CLE,Darren Fells,16,419,1092,38.37,26.19,0,2.86,2.86,29.7,0.07
WR,KC,Demarcus Robinson,16,419,1047,40.02,26.19,0,7.88,7.88,52.8,0.13
TE,DEN,Matt LaCosse,15,418,1007,41.51,27.87,0,8.85,8.85,31,0.07
TE,ARI,Jermaine Gresham,13,416,779,53.4,32,0,2.88,2.88,7.4,0.02
TE,BAL,Mark Andrews,16,414,1190,34.79,25.88,0,12.08,12.08,73.2,0.18
RB,DET,Theo Riddick,14,414,953,43.44,29.57,9.66,18.12,27.78,55.5,0.13
RB,OAK,Jalen Richard,16,412,1045,39.43,25.75,13.35,19.66,33.01,88.6,0.22
WR,MIA,Devante Parker,11,411,629,65.34,37.36,0,11.44,11.44,36.9,0.09
RB,TEN,Derrick Henry,16,403,986,40.87,25.19,53.35,4.47,57.82,186.36,0.46
WR,NE,Phillip Dorsett,16,400,1120,35.71,25,1,10.5,11.5,49.9,0.12
TE,MIA,Mike Gesicki,16,399,920,43.37,24.94,0,8.02,8.02,18.2,0.05
RB,NE,James Develin,16,397,1120,35.45,24.81,1.51,4.53,6.05,30.9,0.08
RB,CLE,Nick Chubb,16,395,1092,36.17,24.69,48.61,7.34,55.95,174.5,0.44
WR,DEN,Tim Patrick,16,393,1074,36.59,24.56,0.76,10.43,11.2,37.2,0.09
RB,SEA,Mike Davis,15,392,1011,38.77,26.13,28.57,10.71,39.29,102.8,0.26
TE,BUF,Jason Croom,15,388,983,39.47,25.87,0,9.02,9.02,33.9,0.09
TE,HOU,Jordan Akins,16,388,1094,35.47,24.25,0,6.44,6.44,22.5,0.06
TE,DAL,Blake Jarwin,16,388,1079,35.96,24.25,0,9.28,9.28,48.7,0.13
RB,CLE,Carlos Hyde,14,386,984,39.23,27.57,44.56,4.4,48.96,88.4,0.23
WR,SF,Marquise Goodwin,11,382,635,60.16,34.73,1.05,11.26,12.3,64.4,0.17
TE,LAR,Gerald Everett,16,380,1100,34.55,23.75,0.53,13.42,13.95,53.6,0.14
TE,BAL,Maxx Williams,13,375,982,38.19,28.85,0.8,4.53,5.33,21.1,0.06
WR,HOU,Will Fuller,7,375,487,77,53.57,0,12,12,74.3,0.2
WR,NYG,Bennie Fowler,10,372,645,57.67,37.2,0,7.26,7.26,25.9,0.07
TE,KC,Demetrius Harris,15,372,991,37.54,24.8,0,6.72,6.72,34.4,0.09
WR,IND,Dontrelle Inman,9,371,624,59.46,41.22,0,10.51,10.51,48.4,0.13
WR,OAK,Marcell Ateman,7,369,456,80.92,52.71,0,8.4,8.4,21.4,0.06
WR,WAS,Paul Richardson,7,368,482,76.35,52.57,0.54,9.51,10.05,39.1,0.11
RB,TB,Jacquizz Rodgers,16,368,1116,32.97,23,8.97,12.23,21.2,45,0.12
TE,LAC,Antonio Gates,16,366,996,36.75,22.88,0,12.57,12.57,47.3,0.13
TE,SEA,Ed Dickson,10,365,686,53.21,36.5,0.27,3.56,3.84,33.2,0.09
TE,WAS,Jeremy Sprinkle,16,363,1020,35.59,22.69,0,2.48,2.48,10.1,0.03
TE,ATL,Logan Paulsen,15,362,989,36.6,24.13,0,2.49,2.49,15.1,0.04
WR,CIN,Alex Erickson,16,362,997,36.31,22.63,0.83,8.01,8.84,16.9,0.05
TE,NE,Dwayne Allen,13,362,894,40.49,27.85,0,1.1,1.1,2.7,0.01
RB,OAK,Doug Martin,16,362,1045,34.64,22.63,47.51,6.63,54.14,101.9,0.28
RB,GB,Aaron Jones,12,357,720,49.58,29.75,37.25,9.8,47.06,145.4,0.41
TE,NYJ,Eric Tomlinson,15,354,945,37.46,23.6,0,3.95,3.95,7.2,0.02
RB,NO,Mark Ingram,12,350,771,45.4,29.17,39.43,7.71,47.14,121.5,0.35
RB,LAC,Austin Ekeler,14,348,859,40.51,24.86,30.46,15.23,45.69,129.8,0.37
WR,ARI,Trent Sherfield,13,348,774,44.96,26.77,0,8.05,8.05,27,0.08
RB,DET,Kerryon Johnson,10,347,673,51.56,34.7,34.01,11.24,45.24,107.4,0.31
WR,PHI,Jordan Matthews,14,345,941,36.66,24.64,0,8.12,8.12,42,0.12
WR,WAS,Michael Floyd,13,345,806,42.8,26.54,0,6.96,6.96,18,0.05
TE,CAR,Chris Manhertz,16,343,1057,32.45,21.44,0,1.46,1.46,11.2,0.03
TE,TB,Antony Auclair,16,339,1116,30.38,21.19,0,2.36,2.36,4.8,0.01
RB,SF,Matt Breida,14,338,865,39.08,24.14,45.27,9.17,54.44,135.5,0.4
WR,SEA,Jaron Brown,15,337,998,33.77,22.47,0,5.93,5.93,46.6,0.14
RB,NYJ,Isaiah Crowell,13,333,810,41.11,25.62,42.94,8.41,51.35,119.7,0.36
WR,SF,Pierre Garcon,8,332,469,70.79,41.5,0,13.55,13.55,34.6,0.1
RB,CIN,Giovani Bernard,12,331,752,44.02,27.58,16.92,14.5,31.42,60.9,0.18
RB,MIA,Frank Gore,14,331,813,40.71,23.64,47.13,4.83,51.96,90.6,0.27
TE,IND,Jack Doyle,6,330,407,81.08,55,0,10,10,34.5,0.1
TE,NYJ,Jordan Leggett,15,326,936,34.83,21.73,0,7.67,7.67,17.4,0.05
WR,CAR,Torrey Smith,11,324,757,42.8,29.45,0,9.26,9.26,33,0.1
RB,PHI,Wendell Smallwood,16,323,1092,29.58,20.19,26.93,10.84,37.77,89.4,0.28
RB,NE,Sony Michel,13,322,898,35.86,24.77,64.91,3.42,68.32,132.1,0.41
WR,GB,Equanimeous St. Brown,12,322,742,43.4,26.83,0.31,11.18,11.49,33.3,0.1
WR,CHI,Josh Bellamy,16,321,1074,29.89,20.06,0,8.1,8.1,19.7,0.06
WR,SF,Trent Taylor,14,321,944,34,22.93,0,12.46,12.46,29.5,0.09
RB,NYJ,Elijah McGuire,8,318,500,63.6,39.75,28.93,9.75,38.68,66.9,0.21
RB,DEN,Devontae Booker,16,316,1074,29.42,19.75,10.76,16.14,26.9,49.8,0.16
WR,CIN,Cody Core,14,312,866,36.03,22.29,0,8.97,8.97,24,0.08
TE,MIA,Nick O'Leary,10,311,584,53.25,31.1,0,3.22,3.22,14.6,0.05
RB,BAL,Alex Collins,10,311,752,41.36,31.1,36.66,6.75,43.41,93.6,0.3
RB,BAL,Javorius Allen,14,311,1051,29.59,22.21,13.18,13.83,27.01,58.6,0.19
RB,ATL,Ito Smith,14,310,935,33.16,22.14,29.03,10.32,39.35,70.7,0.23
WR,BUF,Andre Holmes,15,310,1006,30.82,20.67,0,7.74,7.74,16.2,0.05
RB,DEN,Royce Freeman,14,308,935,32.94,22,42.21,6.49,48.7,87.3,0.28
RB,WAS,Chris Thompson,10,308,625,49.28,30.8,13.96,17.86,31.82,50.6,0.16
WR,PIT,Ryan Switzer,16,301,1117,26.95,18.81,1.99,14.62,16.61,33.4,0.11
RB,BUF,Chris Ivory,13,300,857,35.01,23.08,38.33,7,45.33,65,0.22
TE,DAL,Dalton Schultz,11,299,761,39.29,27.18,0,5.69,5.69,11.6,0.04
TE,GB,Lance Kendricks,16,293,1004,29.18,18.31,0,8.87,8.87,23,0.08
WR,JAX,D.J. Chark,11,291,721,40.36,26.45,0,11,11,15.4,0.05
TE,NYG,Scott Simonson,16,289,1029,28.09,18.06,0,4.84,4.84,14.6,0.05
RB,BAL,Gus Edwards,11,287,789,36.38,26.09,47.74,0.7,48.43,87.8,0.31
TE,OAK,Lee Smith,16,284,1045,27.18,17.75,0,3.87,3.87,25.3,0.09
WR,PHI,Deandre Carter,14,284,959,29.61,20.29,0.35,8.8,9.15,20.3,0.07
TE,BUF,Logan Thomas,12,284,794,35.77,23.67,0,5.99,5.99,8.3,0.03
RB,DET,LeGarrette Blount,16,282,1076,26.21,17.63,54.61,5.32,59.93,76.5,0.27
WR,MIA,Jakeem Grant,10,282,604,46.69,28.2,0.35,12.06,12.41,39.3,0.14
RB,JAX,Leonard Fournette,8,280,543,51.57,35,47.5,9.29,56.79,98.4,0.35
WR,LAC,Travis Benjamin,12,278,763,36.44,23.17,2.52,8.63,11.15,28.7,0.1
WR,NYJ,Terrelle Pryor,8,277,540,51.3,34.63,0.36,10.83,11.19,37.1,0.13
TE,BAL,Hayden Hurst,12,275,876,31.39,22.92,0.36,8.36,8.73,22.3,0.08
WR,NO,Austin Carr,14,274,910,30.11,19.57,0,5.11,5.11,21.7,0.08
WR,HOU,Bruce Ellington,7,273,472,57.84,39,0.37,15.38,15.75,28.6,0.1
WR,HOU,Keke Coutee,6,267,419,63.72,44.5,1.12,15.36,16.48,34.7,0.13
TE,SF,Garrett Celek,15,259,937,27.64,17.27,0,3.09,3.09,21,0.08
WR,MIN,Aldrick Robinson,14,253,907,27.89,18.07,0,13.83,13.83,53.1,0.21
RB,PHI,Josh Adams,13,251,863,29.08,19.31,47.81,5.18,52.99,74.9,0.3
WR,DAL,Deonte Thompson,13,251,842,29.81,19.31,0,11.95,11.95,16.1,0.06
RB,SF,Alfred Morris,12,249,742,33.56,20.75,44.58,5.62,50.2,60.1,0.24
RB,KC,Spencer Ware,13,247,872,28.33,19,20.65,9.31,29.96,59,0.24
TE,IND,Mo Alie-Cox,9,241,638,37.77,26.78,0,5.81,5.81,25.3,0.1
WR,GB,Geronimo Allison,5,241,334,72.16,48.2,0,12.45,12.45,42.3,0.18
FB,DEN,Andy Janovich,16,239,1074,22.25,14.94,0.84,4.18,5.02,17.7,0.07
RB,GB,Ty Montgomery,13,238,855,27.84,18.31,17.23,16.81,34.03,46.2,0.19
RB,PHI,Corey Clement,11,238,738,32.25,21.64,28.57,10.5,39.08,59.1,0.25
WR,DET,Andy Jones,7,237,473,50.11,33.86,0,10.13,10.13,14,0.06
WR,OAK,Brandon LaFell,6,233,379,61.48,38.83,0,6.87,6.87,25.5,0.11
TE,OAK,Derek Carrier,16,233,1045,22.3,14.56,0,5.15,5.15,12.7,0.05
WR,NE,Cordarrelle Patterson,15,231,1052,21.96,15.4,18.18,12.12,30.3,69.5,0.3
WR,MIA,Albert Wilson,7,231,413,55.93,33,3.46,15.15,18.61,70.78,0.31
TE,MIN,David Morgan,11,230,729,31.55,20.91,0,2.61,2.61,3.6,0.02
FB,NO,Zach Line,16,228,1050,21.71,14.25,3.95,4.39,8.33,17.5,0.08
FB,PIT,Jaylen Samuels,14,226,951,23.76,16.14,24.78,12.83,37.61,63.5,0.28
WR,NO,Keith Kirkwood,8,225,510,44.12,28.13,0,9.33,9.33,32.9,0.15
WR,DEN,Isaiah McKenzie,8,224,543,41.25,28,4.46,13.39,17.86,34.5,0.15
TE,JAX,Austin Seferian-Jenkins,5,221,351,62.96,44.2,0,9.05,9.05,15,0.07
WR,ATL,Justin Hardy,16,221,1060,20.85,13.81,0,9.95,9.95,25.3,0.11
TE,JAX,Blake Bell,10,221,640,34.53,22.1,0,4.98,4.98,6.7,0.03
WR,OAK,Martavis Bryant,8,219,515,42.52,27.38,1.37,12.33,13.7,26.9,0.12
WR,CLE,Breshad Perriman,10,218,628,34.71,21.8,1.83,11.47,13.3,46.2,0.21
WR,ARI,JJ Nelson,14,213,824,25.85,15.21,1.88,8.92,10.8,6.4,0.03
RB,OAK,Marshawn Lynch,6,211,419,50.36,35.17,42.65,9.48,52.13,64,0.3
WR,NYG,Cody Latimer,6,209,402,51.99,34.83,0,7.66,7.66,25,0.12
